Website,multilingual ,attachments,payment,formulare,contact_info,chatbot,socialmedia,digital_score,date
example1,yes,12,yes ,yes,yes,no,yes,0.94,May 1
example2,no,0,no,yes,yes,no,yes,0.75,May 1
example3,no,1,no,yes,yes,yes,no,0.46,May 1
example4,no,22,no,yes,yes,no,yes,0.96,May 1
example5,yes,56,yes ,no,yes,yes,yes,0.92,May 1
example6,no,23,yes ,no,no,no,yes,0.83,May 1
example7,yes,32,no,yes,no,no,yes,0.76,May 1
example8,yes,8,yes ,no,yes,no,no,0.67,May 1
example9,yes,18,yes ,no,no,yes,yes,0.73,May 1
example10,yes,23,no,yes,yes,yes,yes,0.97,May 1
example1,yes,12,yes ,yes,yes,no,yes,0.75,July 1
example2,no,0,no,yes,yes,no,yes,0.43,July 1
example3,no,1,no,yes,yes,yes,no,0.5,July 1
example4,no,22,no,yes,yes,no,yes,0.35,July 1
example5,yes,56,yes ,no,yes,yes,yes,0.63,July 1
example6,no,23,yes ,no,no,no,yes,0.242,July 1
example7,yes,32,no,yes,no,no,yes,0.242,July 1
example8,yes,8,yes ,no,yes,no,no,0.25,July 1
example9,yes,18,yes ,no,no,yes,yes,0.25,July 1
example10,yes,23,no,yes,yes,yes,yes,0.97,July 1
example1,yes,12,yes ,yes,yes,no,yes,0.92,September 1
example2,no,0,no,yes,yes,no,yes,0.75,September 1
example3,no,1,no,yes,yes,yes,no,0.73,September 1
example4,no,22,no,yes,yes,no,yes,0.76,September 1
example5,yes,56,yes ,no,yes,yes,yes,0.92,September 1
example6,no,23,yes ,no,no,no,yes,0.73,September 1
example7,yes,32,no,yes,no,no,yes,0.75,September 1
example8,yes,8,yes ,no,yes,no,no,0.67,September 1
example9,yes,18,yes ,no,no,yes,yes,0.73,September 1
example10,yes,23,no,yes,yes,yes,yes,0.97,September 1
